"from_institution_id","to_institution_id","work_count","period","status","source"
"I36258959","I1282311441","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I154570441","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I1306409833","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I185103710","I1282311441","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI185103710%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1291425158","I4210095624","4","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1291425158%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I4210095624","4","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I4210114444","4","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I1282311441","4","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I154570441","I4210095624","4","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I84218800","I1306409833","4","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI84218800%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I4210095624","3","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I154570441","I1306409833","3","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I185103710","I1306409833","3","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI185103710%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I4210095624","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I4210114444","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I1306409833","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
